Pontuação Total,Nome/Endereço,Valor Total Mensal (R$),Bairro,Fonte (site),Código,Rank
28.46,"Próximo ao Hospital 9 de Julho, Bela Vista",3628.35,Bela Vista,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-80-m/AP2200-LSA?from=rent,10,1
19.06,"Aclimação, São Paulo",3920.0,Aclimação,https://rizkimoveis.com.br/imovel/10118/apartamento-2-quartos-aclimacao-sao-paulo/venda-e-aluguel/,6,2
18.36,"Rua Cubatão, Vila Mariana",4018.0,Vila Mariana,https://www.quintoandar.com.br/imovel/894548094/alugar/apartamento-2-quartos-vila-mariana-sao-paulo,4,3
14.499999999999998,"Rua Artur Prado, Bela Vista, São Paulo",4176.0,Bela Vista,https://www.quintoandar.com.br/imovel/894590276/alugar/apartamento-3-quartos-bela-vista-sao-paulo,22,4
14.159999999999998,"Rua Barata Ribeiro, Bela Vista, São Paulo",4140.0,Bela Vista,https://www.quintoandar.com.br/imovel/893085659,26,5
11.659999999999998,"Apartamento no bairro Bela Vista, São Paulo",4250.0,Bela Vista,https://www.quintoandar.com.br/imovel/894590276,12,6
11.360000000000001,"Rua Domingos de Morais, Vila Mariana",4202.75,Vila Mariana,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-70m2-id-2716602081/,1,7
6.260000000000001,"Rua Aurora, Santa Ifigênia, São Paulo",4348.0,Santa Ifigênia,https://www.quintoandar.com.br/imovel/894601086/alugar/apartamento-2-quartos-santa-ifigenia-sao-paulo,21,8
6.16,"Rua Texas, Brooklin Paulista, São Paulo",4621.0,Brooklin Paulista,https://www.quintoandar.com.br/imovel/893762445,24,9
5.300000000000001,"Rua Maria Paula, Bela Vista, São Paulo",4470.0,Bela Vista,https://www.quintoandar.com.br/imovel/892877492/alugar/apartamento-3-quartos-bela-vista-sao-paulo,23,10
4.7,"Rua Joaquim Floriano, Itaim Bibi",4572.0,Itaim Bibi,https://www.quintoandar.com.br/imovel/893818139/alugar/apartamento-3-quartos-itaim-bibi-sao-paulo,5,11
2.66,"Rua Doutor Mário Cardim, Vila Mariana",4603.333333,Vila Mariana,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-84m2-id-2735407830/,2,12
1.66,Próximo ao Metrô Barra Funda,4449.0,Barra Funda,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-62-m/AP1325-LSA?from=rent,7,13
-0.14,Próximo ao Shopping Bourbon,4517.97,Perdizes,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-60-m/AP1351-LSA?from=rent,9,14
-1.1,"Alameda Fernão Cardim, Jardim Paulista",4700.0,Jardim Paulista,https://www.quintoandar.com.br/imovel/894340151/alugar/apartamento-2-quartos-jardim-paulista-sao-paulo,3,15
-1.3399999999999999,Apartamento - Avenida Brigadeiro Luís Antônio,4934.0,Bela Vista,https://www.quintoandar.com.br/imovel/893436879,27,16
-4.499999999999999,Apartamento - Rua Domingos de Morais,5223.0,Vila Mariana,https://www.quintoandar.com.br/imovel/894614711,28,17
-5.34,"Rua Estela, Vila Mariana, São Paulo",5167.0,Vila Mariana,https://www.quintoandar.com.br/imovel/894561348,25,18
-7.7,"Rua Domingos de Morais, Vila Mariana, São Paulo",5374.0,Vila Mariana,https://www.quintoandar.com.br/imovel/894614711,19,19
-30.14,"Consolação, São Paulo",6765.52,Consolação,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-100-m/AP2259-LSA?from=rent,8,20
